0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.91
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.6248307478193955,0.0055536468693450905,0.24806564864814243,0.6192771009500504,4.9613129729628485,110010100101101110111101110011,1
1,0.7115804350730266,0.10730893562503846,0.4096833073639662,0.6042714994479881,8.193666147279323,110101111111001100001010101010,2
2,0.9840437074114584,0.21060755750048732,0.5576885906782564,0.7734361499109711,11.153771813565127,111111011111001100001010101010,3
3,0.9840437074114584,0.0022834690629473043,0.5945543222832578,0.9817602383485111,11.891086445665156,111111011111001100001010101010,3
4,0.9996055008697703,0.2579206726080997,0.7078060633194754,0.7416848282616706,14.156121266389507,111111111111001100010010010111,5
5,0.9996055008697703,0.09339662192215065,0.6264414345346698,0.9062088789476197,12.528828690693397,111111111111001100010010010111,5
6,0.9996131287738174,0.11802848366138571,0.7576863195716373,0.8815846451124316,15.153726391432746,111111111111001101010010010111,7
7,0.9996131287738174,0.1912336772475314,0.8301164270784656,0.808379451526286,16.60232854156931,111111111111001101010010010111,7
8,0.9998501185612341,0.19102043400203542,0.8051177861542025,0.8088296845591987,16.10235572308405,111111111111101100010110101001,9
9,0.999851072164307,0.24980658263371558,0.8657126550479616,0.7500444895305914,17.31425310095923,111111111111101100011110101001,10
10,0.999851072164307,0.21771652678903478,0.8006553896433074,0.7821345453752723,16.013107792866148,111111111111101100011110101001,10
11,0.999851072164307,0.705006441105853,0.9355050722579671,0.29484463105845404,18.710101445159342,111111111111101100011110101001,10
12,0.999851072164307,0.7654937499402461,0.9777422926263307,0.23435732222406092,19.554845852526615,111111111111101100011110101001,10
13,0.9998520369428787,0.24603523242701353,0.9292865276561788,0.7538168045158652,18.585730553123575,111111111111101100100110101111,14
14,0.9999728465433193,0.8987389925933279,0.9851626747315996,0.1012338539499914,19.70325349463199,111111111111111100011100001101,15
15,0.9999728465433193,0.7033682597985227,0.9756535141798335,0.2966045867447966,19.51307028359667,111111111111111100011100001101,15
16,0.9999728465433193,0.7025488688988853,0.961063075726079,0.29742397764443396,19.22126151452158,111111111111111100011100001101,15
17,0.9999728465433193,0.8778518155787195,0.9911297178776677,0.12212103096459981,19.822594357553353,111111111111111100011100001101,15
18,0.9999729955529139,0.5624796737191731,0.9629444013895825,0.4374933218337408,19.25888802779165,111111111111111100011101011101,19
19,0.9999805280023824,0.24554954104509188,0.924093697267708,0.7544309869572905,18.48187394535416,111111111111111101011100101001,20
20,0.9999805280023824,0.2499864974019644,0.9460876926215638,0.7499940306004179,18.921753852431276,111111111111111101011100101001,20
21,0.9999840520958019,0.24998512280885532,0.8807169058821996,0.7499989292869466,17.614338117643992,111111111111111101111010001101,22
22,0.9999840520958019,0.7656012601021926,0.9667328770445506,0.23438279199360923,19.334657540891012,111111111111111101111010001101,22
23,0.9999841042494508,0.7612258020490373,0.9735983741801173,0.2387583022004135,19.471967483602345,111111111111111101111010101001,24
24,0.9999841042494508,0.2499859758756787,0.9103121031746753,0.7499981283737721,18.206242063493505,111111111111111101111010101001,24
25,0.9999845214786921,0.24992875657101865,0.9381907971224714,0.7500557649076735,18.76381594244943,111111111111111101111110001001,26
