0,1
generations,50
cross_over_prob,0.95
mutation_prob,0.99
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True
reverse_annealing,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9965753068687759,0.00016997213182967427,0.30177768174469033,0.9964053347369463,6.035553634893807,111111111000111110101110111100,1
1,0.9965754258737666,0.19867981270715904,0.586944009993599,0.7978956131666075,11.738880199871979,111111111000111110101111111100,2
2,0.9985261573711074,0.3564986468562861,0.7743783847257786,0.6420275105148212,15.48756769451557,111111111100111110101111111100,3
3,0.9985261573711074,0.356554451726237,0.7867047212740005,0.6419717056448704,15.73409442548001,111111111100111110101111111100,3
4,0.9990140191181572,0.249263349947369,0.8319932251447799,0.7497506691707883,16.6398645028956,111111111101111110101110111100,5
5,0.9995098658855605,0.24926144541454245,0.890835944016332,0.750248420471018,17.81671888032664,111111111110111111101111111100,6
6,0.9995098658855605,0.1550439443009395,0.9147672233978366,0.844465921584621,18.29534446795673,111111111110111111101111111100,6
7,0.9995098658855605,0.2264457223006093,0.9238611244899768,0.7730641435849511,18.477222489799537,111111111110111111101111111100,6
8,0.9995098658855605,0.7363931954626248,0.9424691994097507,0.26311667042293563,18.849383988195015,111111111110111111101111111100,6
9,0.9995098658855605,0.7239745681500008,0.9371235644195185,0.2755352977355596,18.74247128839037,111111111110111111101111111100,6
10,0.9995098658855605,0.8126618219654301,0.9561498006601908,0.18684804392013032,19.122996013203817,111111111110111111101111111100,6
11,0.9995098658855605,0.2492633518072679,0.9223193886397647,0.7502465140782926,18.446387772795294,111111111110111111101111111100,6
12,0.9995098677477491,0.22965948638079944,0.8759377829129502,0.7698503813669496,17.518755658259003,111111111110111111101111111101,13
13,0.9999980889269882,0.24975115156258643,0.8942655780399662,0.7502469373644017,17.885311560799323,111111111111111111101111111101,14
14,0.9999980889269882,0.24536269304414876,0.9192090550860316,0.7546353958828393,18.384181101720632,111111111111111111101111111101,14
15,0.9999980889269882,0.22669629936637056,0.8733269367362422,0.7733017895606176,17.466538734724843,111111111111111111101111111101,14
16,0.9999980889269882,0.2266963011400794,0.8652401643054347,0.7733017877869087,17.304803286108694,111111111111111111101111111101,14
17,0.9999980926522749,0.14053272296735533,0.9412996955797247,0.8594653696849196,18.825993911594495,111111111111111111101111111111,18
18,0.9999980926522749,0.752012502683217,0.9641251648602058,0.24798558996905795,19.282503297204116,111111111111111111101111111111,18
19,0.9999980926522749,0.23936830469559012,0.9242606508722737,0.7606297879566848,18.485213017445474,111111111111111111101111111111,18
20,0.9999980926522749,0.5107330182874061,0.9233858918392421,0.48926507436486877,18.467717836784843,111111111111111111101111111111,18
21,0.9999980926522749,0.8911585175608877,0.9670243150819339,0.1088395750913872,19.340486301638677,111111111111111111101111111111,18
22,0.9999980926522749,0.8912737254646567,0.9731139935839078,0.10872436718761824,19.462279871678156,111111111111111111101111111111,18
23,0.9999980926522749,0.7345418536579402,0.9627016655622423,0.2654562389943347,19.254033311244847,111111111111111111101111111111,18
24,0.9999980926522749,0.7656199897546752,0.9739236711005915,0.23437810289759975,19.47847342201183,111111111111111111101111111111,18
25,0.9999980926522749,0.5624985244367622,0.9564451143789754,0.4374995682155127,19.128902287579507,111111111111111111101111111111,18
26,0.9999980926522749,0.2499990458609318,0.9366250350985904,0.7499990467913431,18.73250070197181,111111111111111111101111111111,18
27,0.9999980926522749,0.24996852927233704,0.957298149228226,0.7500295633799379,19.14596298456452,111111111111111111101111111111,18
28,0.9999980926522749,0.7656233308671276,0.9867351830714277,0.23437476178514727,19.734703661428554,111111111111111111101111111111,18
29,0.9999980926522749,0.5624871251211436,0.9647137535418409,0.4375109675311313,19.294275070836818,111111111111111111101111111111,18
30,0.9999980926522749,0.2499990458609318,0.9394682483949023,0.7499990467913431,18.789364967898045,111111111111111111101111111111,18
31,0.9999980926522749,0.562498567743206,0.955440953136144,0.43749952490906896,19.10881906272288,111111111111111111101111111111,18
