0,1
generations,2000
cross_over_prob,0.95
mutation_prob,0.91
population_size,20
chromosome_bits,30
elitism,True
convergence,0
annealing,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9088352724032627,6.547158912023202e-05,0.2899588436956127,0.9087698008141425,5.799176873912254,111101000000110101010110100010,1
1,0.909300263182277,0.11903047066549823,0.6695353293040534,0.7902697925167788,13.390706586081066,111101000001110101010001100110,2
2,0.9111642176234983,0.1790172136862573,0.7004729622151535,0.732147003937241,14.009459244303072,111101000101110101010110011110,3
3,0.9111725457312011,0.1790172144743504,0.7944031980587996,0.7321553312568507,15.888063961175991,111101000101110110011111101010,4
4,0.9693986748587151,0.20549686654719915,0.7336893833452383,0.763901808311516,14.673787666904765,111111000000110101110110111110,5
5,0.9693986748587151,0.12581445615936052,0.7648848947852149,0.8435842186993546,15.2976978957043,111111000000110101110110111110,5
6,0.9718086283647537,0.2055085021287198,0.8367292699371862,0.7663001262360338,16.734585398743725,111111000101110110011110111111,7
7,0.9718439260000011,0.16619985049678884,0.822124292360001,0.8056440755032123,16.442485847200018,111111000101111011001011010110,8
8,0.9872725459470132,0.20641330116075343,0.8606079105511091,0.7808592447862598,17.21215821102218,111111100101110110011100011110,9
9,0.9872725459470132,0.21357320048313447,0.8458010402192544,0.7736993454638788,16.916020804385088,111111100101110110011100011110,9
10,0.9960608143198252,0.237906567288642,0.8474329560394667,0.7581542470311832,16.948659120789333,111111110111111011001011000110,11
11,0.9999631777069872,0.8035036705969928,0.9281537658998469,0.19645950710999438,18.563075317996937,111111111111111011001011000110,12
12,0.9999631777069872,0.24338501633987042,0.8748846870911304,0.7565781613671168,17.49769374182261,111111111111111011001011000110,12
13,0.9999675138697636,0.20523090522072374,0.8899881042493449,0.7947366086490398,17.7997620849869,111111111111111011101111011110,14
14,0.9999675138697636,0.38087886770653834,0.9203300676643911,0.6190886461632252,18.406601353287822,111111111111111011101111011110,14
15,0.9999675138697636,0.38091823352400894,0.9347899084782785,0.6190492803457546,18.69579816956557,111111111111111011101111011110,14
16,0.9999675138697636,0.3785093970750127,0.8969647080140046,0.6214581167947508,17.93929416028009,111111111111111011101111011110,14
17,0.9999675138697636,0.511298607497337,0.9256713622549906,0.48866890637242655,18.513427245099813,111111111111111011101111011110,14
18,0.9999675138697636,0.8744993358363682,0.977699484917942,0.12546817803339538,19.55398969835884,111111111111111011101111011110,14
19,0.9999675138697636,0.23386830819700086,0.8997309080884092,0.7660992056727627,17.994618161768184,111111111111111011101111011110,14
20,0.9999675138697636,0.5137715525376644,0.9218684565955748,0.4861959613320992,18.437369131911495,111111111111111011101111011110,14
21,0.9999941662038956,0.9039568455089075,0.9706746384856555,0.09603732069498805,19.41349276971311,111111111111111111001111000011,22
22,0.9999941662038956,0.7519577140344381,0.9566370536049769,0.24803645216945747,19.132741072099538,111111111111111111001111000011,22
23,0.9999941662038956,0.13625280880767218,0.8154035213851621,0.8637413573962234,16.308070427703242,111111111111111111001111000011,22
24,0.9999941662038956,0.6383836194354883,0.9224815393143443,0.3616105467684073,18.449630786286885,111111111111111111001111000011,22
25,0.9999941662038956,0.5623125344502361,0.9462901150841855,0.4376816317536595,18.92580230168371,111111111111111111001111000011,22
26,0.9999941662038956,0.24537933137423643,0.934210060589202,0.7546148348296592,18.68420121178404,111111111111111111001111000011,22
27,0.9999941662038956,0.24993541369169137,0.9237209458336573,0.7500587525122042,18.474418916673145,111111111111111111001111000011,22
28,0.9999959822784449,0.5621294743969903,0.9383595238404923,0.43786650788145454,18.767190476809844,111111111111111111011110010010,29
29,0.9999959822784449,0.5970560317678091,0.9339487803115263,0.4029399505106358,18.678975606230527,111111111111111111011110010010,29
30,0.9999959822784449,0.6979569084124316,0.9127144410826451,0.30203907386601325,18.254288821652903,111111111111111111011110010010,29
31,0.9999959822784449,0.697956706116219,0.9206303710655671,0.3020392761622259,18.412607421311343,111111111111111111011110010010,29
32,0.9999959822784449,0.12897253413832654,0.9050630999771577,0.8710234481401183,18.101261999543155,111111111111111111011110010010,29
33,0.9999959822784449,0.5375102423072462,0.9263359071802071,0.4624857399711987,18.526718143604143,111111111111111111011110010010,29
34,0.9999959822784449,0.47161402962977833,0.8735254353873276,0.5283819526486666,17.470508707746554,111111111111111111011110010010,29
35,0.9999959822784449,0.46893526121238843,0.9105183025595321,0.5310607210660565,18.210366051190643,111111111111111111011110010010,29
36,0.9999997969716888,0.46930252409544915,0.9596532266375697,0.5306972728762397,19.193064532751393,111111111111111111111110010010,37
37,0.9999997969716888,0.7621657883074804,0.9646993678804654,0.23783400866420845,19.293987357609307,111111111111111111111110010010,37
38,0.9999997969716888,0.19140407456033626,0.8716120373468428,0.8085957224113526,17.432240746936856,111111111111111111111110010010,37
39,0.9999997969716888,0.9271230074275402,0.98293979637461,0.07287678954414867,19.6587959274922,111111111111111111111110010010,37
40,0.9999997969716888,0.24999690289636733,0.87878703747661,0.7500028940753215,17.5757407495322,111111111111111111111110010010,37
41,0.9999997969716888,0.24994302353453568,0.9145976186549793,0.7500567734371532,18.291952373099587,111111111111111111111110010010,37
42,0.9999997969716888,0.24999798881294313,0.9107764019252571,0.7500018081587457,18.21552803850514,111111111111111111111110010010,37
43,0.9999998714774886,0.5624941225549945,0.9749237402635836,0.43750574892249405,19.498474805271673,111111111111111111111110111010,44
44,0.9999998714774886,0.2499983343323482,0.9497727734321094,0.7500015371451404,18.995455468642188,111111111111111111111110111010,44
45,0.9999998714774886,0.7656187527300115,0.9846650316039799,0.23438111874747714,19.6933006320796,111111111111111111111110111010,44
46,0.9999998714774886,0.7656204151349287,0.9861736283809691,0.23437945634255986,19.723472567619382,111111111111111111111110111010,44
47,0.9999998714774886,0.24945567825911763,0.9090125744572768,0.750544193218371,18.180251489145537,111111111111111111111110111010,44
48,0.9999998714774886,0.2494556466286417,0.9087461884284462,0.7505442248488469,18.174923768568924,111111111111111111111110111010,44
49,0.9999998733401336,0.2494556466286417,0.9319411598724165,0.7505442267114919,18.638823197448332,111111111111111111111110111011,50
50,0.9999998733401336,0.9688737833474895,0.9965471379123299,0.0311260899926441,19.930942758246598,111111111111111111111110111011,50
51,0.9999999776482583,0.9613188436785872,0.9958894774286945,0.0386811339696711,19.91778954857389,111111111111111111111111110011,52
52,0.9999999776482583,0.2499980875327488,0.9557686177333895,0.7500018901155096,19.11537235466779,111111111111111111111111110011,52
53,0.9999999776482583,0.967038600280762,0.9938591753630472,0.03296137736749627,19.877183507260945,111111111111111111111111110011,52
54,0.9999999906867743,0.9670686109264629,0.9936295188994106,0.03293137976031135,19.872590377988214,111111111111111111111111111010,55
55,0.9999999906867743,0.24999903468508236,0.9245678077186505,0.7500009560016919,18.491356154373012,111111111111111111111111111010,55
56,0.9999999906867743,0.5392841347662816,0.9443811738362614,0.4607158559204927,18.887623476725228,111111111111111111111111111010,55
57,0.9999999906867743,0.7647668822688618,0.9751778208677411,0.23523310841791245,19.503556417354822,111111111111111111111111111010,55
58,0.9999999906867743,0.7655979760803979,0.9658178357857743,0.23440201460637633,19.316356715715486,111111111111111111111111111010,55
59,0.9999999906867743,0.7655979760803979,0.9590739992742787,0.23440201460637633,19.181479985485574,111111111111111111111111111010,55
60,0.9999999906867743,0.9689639699087756,0.9867413795501829,0.031036020777998607,19.734827591003658,111111111111111111111111111010,55
61,0.9999999906867743,0.9689490580067442,0.9874007197805856,0.031050932680030008,19.748014395611712,111111111111111111111111111010,55
62,0.9999999906867743,0.8789060892377236,0.9807525332415021,0.12109390144905063,19.615050664830044,111111111111111111111111111010,55
63,0.9999999925494194,0.8787916939621889,0.9722282260365789,0.12120829858723048,19.44456452073158,111111111111111111111111111011,64
64,0.9999999925494194,0.24222599732502276,0.9380672095785234,0.7577739952243967,18.76134419157047,111111111111111111111111111011,64
