0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.01
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True
reverse_annealing,True
cycles,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9867700099495293,4.140164255501725e-05,0.4143661765947413,0.9867286083069743,8.287323531894826,111111100100110100001001010001,1
1,0.9867700099495293,0.1442218503525183,0.6820204588471787,0.842548159597011,13.640409176943573,111111100100110100001001010001,1
2,0.9867700099495293,0.1442218503525183,0.8315558595251984,0.842548159597011,16.631117190503968,111111100100110100001001010001,1
3,0.9867700099495293,0.1442218503525183,0.8849490003571464,0.842548159597011,17.69898000714293,111111100100110100001001010001,1
4,0.9867700099495293,0.8496960520285433,0.9714951868482663,0.1370739579209861,19.429903736965326,111111100100110100001001010001,1
5,0.9867700099495293,0.9025587578973903,0.9825594473469226,0.08421125205213909,19.65118894693845,111111100100110100001001010001,1
6,0.9867700099495293,0.9867700099495293,0.9867700099495295,0.0,19.73540019899059,111111100100110100001001010001,1

0.11025619177856782

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9771153199465625,0.00024930126612898333,0.26160106927812304,0.9768660186804335,5.232021385562461,111111010000110111000110010101,1
1,0.9771153199465625,0.044791550931357366,0.7184060086173799,0.9323237690152052,14.368120172347599,111111010000110111000110010101,1
2,0.9771153199465625,0.3633628369166348,0.8510188608089904,0.6137524830299277,17.020377216179806,111111010000110111000110010101,1
3,0.9771153199465625,0.5301723141890717,0.8829804030350099,0.4469430057574908,17.659608060700197,111111010000110111000110010101,1
4,0.9771153199465625,0.5301723141890717,0.9007944045808906,0.4469430057574908,18.01588809161781,111111010000110111000110010101,1
5,0.9771153199465625,0.5301723141890717,0.9073282474738036,0.4469430057574908,18.146564949476073,111111010000110111000110010101,1
6,0.9771153199465625,0.5301723141890717,0.8955233021159034,0.4469430057574908,17.910466042318067,111111010000110111000110010101,1
7,0.9771153199465625,0.5301723141890717,0.9073282474738036,0.4469430057574908,18.146564949476073,111111010000110111000110010101,1
8,0.9771153199465625,0.871693270646819,0.9402176026916524,0.10542204929974353,18.80435205383305,111111010000110111000110010101,1
9,0.9771153199465625,0.871693270646819,0.9191331928317037,0.10542204929974353,18.382663856634075,111111010000110111000110010101,1
10,0.9771153199465625,0.871693270646819,0.9033198854367421,0.10542204929974353,18.066397708734844,111111010000110111000110010101,1
11,0.9771153199465625,0.871693270646819,0.9244042952966909,0.10542204929974353,18.48808590593382,111111010000110111000110010101,1
12,0.9771153199465625,0.871693270646819,0.9507598076216268,0.10542204929974353,19.015196152432537,111111010000110111000110010101,1
13,0.9771153199465625,0.871693270646819,0.9613020125516012,0.10542204929974353,19.226040251032025,111111010000110111000110010101,1
14,0.9771153199465625,0.871693270646819,0.9665731150165884,0.10542204929974353,19.33146230033177,111111010000110111000110010101,1
15,0.9771153199465625,0.871693270646819,0.9718442174815756,0.10542204929974353,19.436884349631512,111111010000110111000110010101,1
16,0.9771153199465625,0.9771153199465625,0.9771153199465628,0.0,19.542306398931256,111111010000110111000110010101,1

0.8315810389309277

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.8270672290668469,0.014406487259587694,0.3260430206466936,0.8126607418072592,6.520860412933872,111010001101000010001111001111,1
1,0.8270672290668469,0.08982641583046873,0.573657112847201,0.7372408132363782,11.473142256944021,111010001101000010001111001111,1
2,0.8270672290668469,0.3037873529612616,0.7247204388131477,0.5232798761055854,14.494408776262954,111010001101000010001111001111,1
3,0.8270672290668469,0.3037873529612616,0.740462681112066,0.5232798761055854,14.809253622241322,111010001101000010001111001111,1
4,0.8270672290668469,0.6686786426532356,0.8097943367496324,0.1583885864136113,16.195886734992648,111010001101000010001111001111,1
5,0.8270672290668469,0.6686786426532356,0.812651591310073,0.1583885864136113,16.25303182620146,111010001101000010001111001111,1
6,0.8270672290668469,0.805413200946536,0.8184056178187225,0.02165402812031092,16.36811235637445,111010001101000010001111001111,1
7,0.8270672290668469,0.805413200946536,0.8205710206307536,0.02165402812031092,16.411420412615072,111010001101000010001111001111,1
8,0.8270672290668469,0.805413200946536,0.819488319224738,0.02165402812031092,16.38976638449476,111010001101000010001111001111,1
9,0.8270672290668469,0.805413200946536,0.8205710206307536,0.02165402812031092,16.411420412615072,111010001101000010001111001111,1
10,0.8270672290668469,0.805413200946536,0.8238191248488003,0.02165402812031092,16.476382496976004,111010001101000010001111001111,1
11,0.8270672290668469,0.805413200946536,0.8249018262548159,0.02165402812031092,16.498036525096317,111010001101000010001111001111,1
12,0.8270672290668469,0.8270672290668469,0.827067229066847,0.0,16.54134458133694,111010001101000010001111001111,1

2.2185316150516314

