0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9004939153483085,0.0033479931140850067,0.26520748515483555,0.8971459222342235,2.6520748515483556,111100101110110111110111011000,1
1,0.9170072906947516,0.4885221257275443,0.6891680510662658,0.42848516496720734,6.891680510662658,111101010010010110011001100001,2
2,0.9170072906947516,0.5007048021995237,0.7652198863773166,0.4163024884952279,7.652198863773166,111101010010010110011001100001,2
3,0.9170072906947516,0.5459066757486943,0.8157962765961791,0.3711006149460573,8.157962765961791,111101010010010110011001100001,2
4,0.9170072906947516,0.6188549655573474,0.851416063074082,0.2981523251374042,8.51416063074082,111101010010010110011001100001,2
5,0.9170072906947516,0.6188531603173087,0.841326681504689,0.29815413037744287,8.41326681504689,111101010010010110011001100001,2
6,0.9170073192336041,0.6188549421126547,0.8543954702481587,0.29815237712094944,8.543954702481587,111101010010010110011001110001,7
7,0.9320331190411285,0.8873262757819788,0.9155411926996424,0.04470684325914975,9.155411926996424,111101110010010110101100110001,8
8,0.9320331190411285,0.9170058352138643,0.9230171104561243,0.01502728382726426,9.230171104561244,111101110010010110101100110001,8
9,0.9320331190411285,0.9170058066750348,0.9214202000048622,0.01502731236609367,9.214202000048623,111101110010010110101100110001,8
10,0.9320331190411285,0.9170072906947516,0.9259287485921532,0.01502582834637689,9.259287485921533,111101110010010110101100110001,8
11,0.9320331190411285,0.9170072906947516,0.9259287645379508,0.01502582834637689,9.259287645379509,111101110010010110101100110001,8
12,0.9320331190411285,0.9170072050781968,0.9260233994956785,0.015025913962931736,9.260233994956785,111101110010010110101100110001,8
13,0.9320331190411285,0.9170113146773334,0.9305309386047489,0.015021804363795077,9.305309386047488,111101110010010110101100110001,8
14,0.9320331190411285,0.9245060448253191,0.9312804116195474,0.007527074215809448,9.312804116195474,111101110010010110101100110001,8
15,0.9320331190411285,0.9245060448253191,0.9312804116195474,0.007527074215809448,9.312804116195474,111101110010010110101100110001,8
16,0.9933483455821508,0.9320331190411285,0.9381646416952305,0.06131522654102228,9.381646416952306,111111110010010110101100110001,17
17,0.9933483455821508,0.9320331190411285,0.9381705342360231,0.06131522654102228,9.381705342360231,111111110010010110101100110001,17
18,0.9933483455821508,0.9320331190411285,0.9443138417918812,0.06131522654102228,9.443138417918812,111111110010010110101100110001,17
19,0.9933483455821508,0.5118674734627501,0.902297277234049,0.4814808721194007,9.02297277234049,111111110010010110101100110001,17

0.8912435798404547

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.8150428392699609,0.02735820393669303,0.43192060560391476,0.7876846353332678,4.319206056039148,111001110001110110111000001000,1
1,0.8154280901707642,0.4893787434258156,0.6522275505964872,0.3260493467449486,6.522275505964871,111001110010101110110011011000,2
2,0.8154280901707642,0.4893780111261599,0.6831151879082332,0.3260500790446043,6.8311518790823325,111001110010101110110011011000,2
3,0.8154280901707642,0.4893700301378567,0.6983051688537567,0.32605806003290755,6.983051688537567,111001110010101110110011011000,2
4,0.8154280918527526,0.4261442237515649,0.6744902971233313,0.38928386810118765,6.744902971233313,111001110010101110110011011001,5
5,0.8154286099052194,0.4893700314408699,0.7579224806741485,0.3260585784643495,7.579224806741485,111001110010101110111000001101,6
6,0.8154286099052194,0.4893704327690139,0.7590673128124253,0.3260581771362055,7.590673128124253,111001110010101110111000001101,6
7,0.8154287394183619,0.5794184207395345,0.7917117069169802,0.23601031867882738,7.9171170691698025,111001110010101110111001011010,8
8,0.8154837262454149,0.5794184207395345,0.7916732097205357,0.23606530550588034,7.916732097205356,111001110010110110111000001101,9
9,0.8154837262454149,0.5794184207395345,0.7916786608411226,0.23606530550588034,7.9167866084112255,111001110010110110111000001101,9
10,0.8154837262454149,0.5794181258294966,0.7916401473507186,0.2360656004159183,7.916401473507186,111001110010110110111000001101,9
11,0.8154837262454149,0.8150423028425574,0.8153624423008903,0.00044142340285746595,8.153624423008903,111001110010110110111000001101,9
12,0.8155388444482554,0.8149326668402186,0.8153569373412506,0.0006061776080368286,8.153569373412505,111001110010111110111000001101,13
13,0.8155388444482554,0.8149321018639686,0.8153238288511684,0.0006067425842868346,8.153238288511684,111001110010111110111000001101,13
14,0.8155388444482554,0.8150423011609671,0.8153954664942221,0.0004965432872883202,8.153954664942221,111001110010111110111000001101,13
15,0.8190145069011736,0.8150428476779153,0.8160133091333369,0.0039716592232582615,8.16013309133337,111001111010110110110011001101,16
16,0.8190145069011736,0.8154286031772642,0.8160132847385834,0.003585903723909434,8.160132847385833,111001111010110110110011001101,16
17,0.8190145069011736,0.8154286031772642,0.8159912373434679,0.003585903723909434,8.159912373434679,111001111010110110110011001101,16
18,0.8190145069011736,0.8154286031772642,0.8166972430382652,0.003585903723909434,8.166972430382652,111001111010110110110011001101,16
19,0.8190150395771082,0.8154280716688935,0.8177675033102656,0.0035869679082146666,8.177675033102656,111001111010110110111000001001,20

1.9909489194855772

