0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,20
chromosome_bits,30
elitism,True
convergence,0.01
annealing,True
reverse_annealing,False

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.7851122464444653,0.00041046981389377296,0.28873221736925747,0.7847017766305715,5.774644347385149,111000101101010100110001111100,1
1,0.7867971019450084,0.19196556494366068,0.5852584220356645,0.5948315370013477,11.705168440713289,111000110001001101111000010110,2
2,0.7869317798359682,0.4164335424870761,0.6170360594854022,0.3704982373488921,12.340721189708043,111000110001100001110001111101,3
3,0.7869317798359682,0.41652686827110447,0.6763170956598092,0.3704049115648637,13.526341913196184,111000110001100001110001111101,3
4,0.7869859179415725,0.4165465413699618,0.7510165619264598,0.3704393765716107,15.020331238529197,111000110001101001110001111001,5
5,0.9017824603651782,0.6782169413782094,0.7755570739471,0.22356551898696875,15.511141478942001,111100110001101001110001111110,6
6,0.9017824603651782,0.6800018843765653,0.7924772630046236,0.2217805759886129,15.849545260092473,111100110001101001110001111110,6
7,0.9017824603651782,0.6847159776695877,0.7978128794491439,0.21706648269559048,15.95625758898288,111100110001101001110001111110,6
8,0.9057578354063651,0.7729911239059704,0.809559817011387,0.13276671150039476,16.19119634022774,111100111010001101111000010101,9
9,0.9057578354063651,0.7847134453010315,0.8337038121487932,0.12104439010533363,16.674076242975865,111100111010001101111000010101,9
10,0.9072397566722554,0.7847134370509987,0.8224417278467291,0.12252631962125671,16.44883455693458,111100111101011001111000111110,11
11,0.9072397566722554,0.7834974015890043,0.8449695126147008,0.12374235508325115,16.899390252294015,111100111101011001111000111110,11
12,0.9072397566722554,0.7838148302825011,0.8553573115492366,0.12342492638975433,17.107146230984732,111100111101011001111000111110,11
13,0.9072397566722554,0.7885026600347643,0.8663934076227842,0.1187370966374911,17.327868152455682,111100111101011001111000111110,11
14,0.9072397566722554,0.7885026683046921,0.8861915946374435,0.11873708836756336,17.72383189274887,111100111101011001111000111110,11
15,0.9072397566722554,0.7885026683046921,0.8872322794590162,0.11873708836756336,17.744645589180323,111100111101011001111000111110,11
16,0.9072397584464088,0.7885027344641152,0.8875039853755441,0.11873702398229358,17.75007970751088,111100111101011001111000111111,17
17,0.9072398542506941,0.7885034655259263,0.8826791040373129,0.11873638872476777,17.653582080746258,111100111101011001111001110101,18
18,0.9072398542506941,0.7904557379418302,0.8951899361387323,0.11678411630886387,17.903798722774646,111100111101011001111001110101,18
19,0.9072398542506941,0.7904557379418302,0.8897220423870659,0.11678411630886387,17.794440847741317,111100111101011001111001110101,18
20,0.9072398542506941,0.7904558952649432,0.9014005407153209,0.11678395898575089,18.02801081430642,111100111101011001111001110101,18

0.6935187991769904

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9635739275265993,8.173870727463996e-05,0.28739469260341105,0.9634921888193246,5.747893852068221,111110110100101101010001011101,1
1,0.9635739275265993,0.25910953827410876,0.6903401398524677,0.7044643892524906,13.806802797049354,111110110100101101010001011101,1
2,0.9635741012251804,0.3591279069627336,0.788740099798495,0.6044461942624468,15.7748019959699,111110110100101101010010111100,3
3,0.9635741012251804,0.6526444048659523,0.8861299792548609,0.31092969635922807,17.722599585097218,111110110100101101010010111100,3
4,0.9638379363566925,0.424607599153159,0.9048753784159647,0.5392303372035334,18.097507568319294,111110110101010000100001011100,5
5,0.9638379381853489,0.7809568396085387,0.9318232983858372,0.18288109857681023,18.636465967716745,111110110101010000100001011101,6
6,0.9638379381853489,0.781626147675195,0.940963325456285,0.1822117905101539,18.8192665091257,111110110101010000100001011101,6
7,0.9638379381853489,0.781626147675195,0.9227937735194616,0.1822117905101539,18.45587547038923,111110110101010000100001011101,6
8,0.9638434186766766,0.7809568396085387,0.9215649829064019,0.18288657906813788,18.431299658128037,111110110101010001010000010010,9
9,0.9638434186766766,0.7809500973926738,0.9203038958172591,0.1828933212840027,18.406077916345183,111110110101010001010000010010,9
10,0.9638434186766766,0.7809787520110977,0.9203687021687138,0.18286466666557888,18.407374043374276,111110110101010001010000010010,9
11,0.9650367390396621,0.7796627609056017,0.9350915914311644,0.18537397813406042,18.701831828623288,111110110111110000100001011101,12
12,0.9650367390396621,0.7796627609056017,0.9351384036106832,0.18537397813406042,18.702768072213665,111110110111110000100001011101,12
13,0.9650423583432833,0.7883113038653144,0.932136040055304,0.17673105447796889,18.64272080110608,111110110111110001010001011100,14
14,0.9650423583432833,0.7883113038653144,0.9368940603352371,0.17673105447796889,18.737881206704742,111110110111110001010001011100,14
15,0.9650423583432833,0.7883111996768736,0.9491671331549976,0.17673115866640976,18.98334266309995,111110110111110001010001011100,14
16,0.965042360173082,0.7883111996768736,0.940234446267627,0.1767311604962084,18.80468892535254,111110110111110001010001011101,17
17,0.965042360173082,0.7883111963693042,0.9165967555523956,0.17673116380377774,18.331935111047912,111110110111110001010001011101,17
18,0.9651340572236485,0.7882824092015894,0.9172068929591124,0.1768516480220591,18.344137859182247,111110110111111101100000011101,19
19,0.9651340572236485,0.7883095062022317,0.9230211909877143,0.1768245510214168,18.460423819754286,111110110111111101100000011101,19
20,0.9651340572236485,0.7884195808757578,0.946598230251902,0.17671447634789073,18.93196460503804,111110110111111101100000011101,19

0.2290694068659569

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9418299889996168,3.5124583384407253e-06,0.27466018398185427,0.9418264765412784,5.493203679637086,111110000111000101010100000111,1
1,0.9418377511011351,0.1254216475344892,0.5608355548052414,0.816416103566646,11.216711096104827,111110000111000110010111001101,2
2,0.9418447973961162,0.3682496823363525,0.6135242779349571,0.5735951150597636,12.270485558699143,111110000111000111010100000111,3
3,0.9418451553153436,0.3998597890622694,0.7345380348091375,0.5419853662530743,14.69076069618275,111110000111000111010111001101,4
4,0.9420726430098468,0.503380327322948,0.8281587786811743,0.4386923156868988,16.563175573623486,111110000111100110000101011011,5
5,0.9494421374508663,0.5071805228257117,0.8937956899346705,0.44226161462515456,17.87591379869341,111110010111000111010101011011,6
6,0.9494421374508663,0.5247455296102526,0.916879163130185,0.4246966078406137,18.3375832626037,111110010111000111010101011011,6
7,0.9496800413207565,0.5247455565960031,0.9189885794746095,0.42493448472475337,18.37977158949219,111110010111100111010101011011,8
8,0.9496800413207565,0.5247455296102526,0.878572346862137,0.4249345117105039,17.57144693724274,111110010111100111010101011011,8
9,0.9496800413207565,0.5247401756510739,0.9206988257984461,0.42493986566968256,18.413976515968923,111110010111100111010101011011,8
10,0.9496802736633205,0.9418375450272302,0.9457632072454072,0.007842728636090368,18.915264144908143,111110010111100111010111011011,11

0.2957753708921107

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.8753759288626031,0.01114848557965335,0.3952584239532261,0.8642274432829498,7.905168479064521,111011111000010001111011011011,1
1,0.8753881349107181,0.0930860172756854,0.6341409697833833,0.7823021176350327,12.682819395667666,111011111000010011101000110111,2
2,0.8753881349107181,0.11921886645333837,0.7682930882643844,0.7561692684573798,15.365861765287686,111011111000010011101000110111,2
3,0.8754041332579846,0.7145018915536897,0.8497073723263288,0.1609022417042949,16.994147446526576,111011111000010101111000010011,4
4,0.9414474260920659,0.6320198967414964,0.8618358329218128,0.3094275293505695,17.236716658436254,111110000110010001101000111111,5
5,0.9414474260920659,0.6320198952606995,0.8520544740283829,0.3094275308313664,17.041089480567656,111110000110010001101000111111,5
6,0.9414474260920659,0.81788834892627,0.8859965810063871,0.12355907716579584,17.719931620127742,111110000110010001101000111111,5
7,0.9424100022266317,0.8744604251613268,0.90529701655332,0.06794957706530491,18.1059403310664,111110001000010011101000110110,8
8,0.9652999434834961,0.8526807274985151,0.9153699544490153,0.11261921598498104,18.307399088980304,111110111000010011101000110111,9
9,0.9652999434834961,0.8178883337655564,0.9171457435634839,0.14741160971793976,18.342914871269677,111110111000010011101000110111,9
10,0.9729909566187575,0.8249689988590234,0.9371186489937342,0.14802195775973404,18.742372979874684,111111001000010011101000110110,11
11,0.9729909584560763,0.8753738585133685,0.9343721628415695,0.09761709994270784,18.68744325683139,111111001000010011101000110111,12
12,0.9729909584560763,0.8753759706878653,0.9472783176527395,0.09761498776821098,18.94556635305479,111111001000010011101000110111,12
13,0.9807124891622435,0.875375968945146,0.9541225261438656,0.1053365202170975,19.082450522877313,111111011000010011101000110110,14
14,0.9807124891622435,0.8680938467190464,0.9594113499829715,0.11261864244319708,19.18822699965943,111111011000010011101000110110,14
15,0.9807124891622435,0.8680938467190464,0.9527342233445657,0.11261864244319708,19.054684466891313,111111011000010011101000110110,14
16,0.9807124891622435,0.8680938467190464,0.9452834077087251,0.11261864244319708,18.905668154174503,111111011000010011101000110110,14
17,0.9807124891622435,0.8680938467190464,0.9455657248314908,0.11261864244319708,18.911314496629817,111111011000010011101000110110,14
18,0.9807124891622435,0.8753881331679867,0.9492555925782791,0.10532435599425682,18.98511185156558,111111011000010011101000110110,14
19,0.9807124891622435,0.8753881331679867,0.9564415123614998,0.10532435599425682,19.128830247229995,111111011000010011101000110110,14
20,0.9807124891622435,0.8753881331679867,0.9590128231611725,0.10532435599425682,19.18025646322345,111111011000010011101000110110,14

1.0252333746328084

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9981107851359828,0.006101284304134974,0.3895700774162284,0.9920095008318479,7.791401548324568,111111111100001000010000100111,1
1,0.9981108372407596,0.09055891882517451,0.7056805272903481,0.907551918415585,14.113610545806964,111111111100001000010001000011,2
2,0.9981108446842991,0.19872748250232242,0.7833328951807141,0.7993833621819767,15.666657903614283,111111111100001000010001000111,3
3,0.9981108446842991,0.4573240250868698,0.8728171242427203,0.5407868195974292,17.456342484854407,111111111100001000010001000111,3
4,0.998114834425525,0.5789551557694157,0.9014950833476052,0.41915967865610926,18.029901666952103,111111111100001000110010100111,5
5,0.998114834425525,0.6414904920669381,0.9232682359890614,0.35662434235858687,18.465364719781228,111111111100001000110010100111,5
6,0.998114834425525,0.6414904920669381,0.9225823413000634,0.35662434235858687,18.45164682600127,111111111100001000110010100111,5
7,0.9990867227285987,0.6414904920669381,0.9012102054090064,0.3575962306616606,18.02420410818013,111111111110001000010001000111,8
8,0.9990867227285987,0.6414904831158366,0.9347402778393681,0.3575962396127621,18.69480555678736,111111111110001000010001000111,8
9,0.9990867227285987,0.6397622913348033,0.9372278019360876,0.35932443139379533,18.74455603872175,111111111110001000010001000111,8
10,0.9990942816281636,0.6397623971134028,0.9717710930653503,0.35933188451476084,19.435421861307006,111111111110001001010000100011,11
11,0.9990942816281636,0.8572987313577902,0.990494216281539,0.14179555027037338,19.80988432563078,111111111110001001010000100011,11
12,0.9991171074442371,0.8589808157330227,0.9908795187280495,0.14013629171121444,19.81759037456099,111111111110001100010000000111,13
13,0.9991171074442371,0.996160392690699,0.9979306152144642,0.002956714753538092,19.958612304289286,111111111110001100010000000111,13

0.21455184946690053

