0,1
generations,500
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,30
elitism,False
convergence,0.01
annealing,True
reverse_annealing,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9632077417365351,3.29092918231641e-05,0.2773889477362552,0.9631748324447119,8.321668432087657,111110110011111100010111110110,1
1,0.9632077417365351,0.021928578922871398,0.5202624514384413,0.9412791628136638,15.607873543153238,111110110011111100010111110110,1
2,0.9775390519512911,0.33859342029331696,0.6987486406952486,0.6389456316579741,20.962459220857458,111111010001101111010001110110,3
3,0.9632077417365351,0.37663474324998714,0.7956949009909485,0.586572998486548,23.870847029728456,111110110011111100010111110110,4
4,0.9632077417365351,0.46894359548363995,0.8305268053452001,0.49426414625289516,24.915804160356004,111110110011111100010111110110,4
5,0.9632133575406766,0.37662537890165426,0.8458047167178024,0.5865879786390223,25.374141501534073,111110110011111101000111110110,6
6,0.9632077417365351,0.7392158165501106,0.8751330695939834,0.22399192518642452,26.2539920878195,111110110011111100010111110110,7
7,0.9941216160100288,0.8005297131967726,0.8664738616389046,0.19359190281325622,25.994215849167137,111111110011111100010111110110,8
8,0.9941216160100288,0.15581848661864472,0.8579567992985175,0.8383031293913841,25.738703978955527,111111110011111100010111110110,8
9,0.9941216160100288,0.2465799714132382,0.844838653190879,0.7475416445967906,25.345159595726372,111111110011111100010111110110,8
10,0.9941216160100288,0.2470651397093413,0.8767505023314575,0.7470564763006875,26.302515069943723,111111110011111100010111110110,8
11,0.9941216160100288,0.5001849794896128,0.85483356334274,0.493936636520416,25.645006900282198,111111110011111100010111110110,8
12,0.9960699456155313,0.5940957981418492,0.8675204362838564,0.4019741474736821,26.025613088515694,111111110111111100010111110110,13
13,0.9960851744493625,0.6809244693386411,0.913058114427658,0.31516070511072136,27.391743432829742,111111110111111110010111110110,14
14,0.9960851744493625,0.6809244693386411,0.9253152013372464,0.31516070511072136,27.759456040117392,111111110111111110010111110110,14
15,0.9960851744493625,0.23342470383212194,0.8860192162077609,0.7626604706172406,26.58057648623283,111111110111111110010111110110,14
16,0.9940911884939347,0.2427162610214113,0.9202807069772517,0.7513749274725234,27.60842120931755,111111110011111000010111110110,17
17,0.9940911884939347,0.8003367497772443,0.932095388198632,0.1937544387166904,27.96286164595896,111111110011111000010111110110,17
18,0.9940911884939347,0.5345902916114931,0.8905176955103491,0.45950089688244167,26.715530865310473,111111110011111000010111110110,17
19,0.9940911884939347,0.5345902480311515,0.9206079388649472,0.4595009404627832,27.618238165948416,111111110011111000010111110110,17
20,0.9940911884939347,0.747096991407329,0.9237105945531544,0.24699419708660575,27.71131783659463,111111110011111000010111110110,17
21,0.994092139346764,0.747096991407329,0.9304565677639874,0.246995147939435,27.91369703291962,111111110011111000011111110110,22
22,0.9940911884939347,0.5349808427839255,0.9019927275881506,0.4591103457100092,27.059781827644517,111111110011111000010111110110,23
23,0.9960394882971148,0.24656671179016063,0.8543289895714629,0.7494727765069541,25.629869687143884,111111110111111000010111110110,24
24,0.9960394882971148,0.534936201146469,0.8957667604418992,0.46110328715064575,26.873002813256974,111111110111111000010111110110,24
25,0.9960394882971148,0.47943392873260526,0.8901059260286431,0.5166055595645095,26.703177780859296,111111110111111000010111110110,24
26,0.9960394882971148,0.534936201146469,0.9257104438429435,0.46110328715064575,27.771313315288307,111111110111111000010111110110,24
27,0.9960395031687386,0.534802298307216,0.8898335443041537,0.46123720486152253,26.695006329124613,111111110111111000010111111110,28
28,0.9960395031687386,0.534936201146469,0.9149288914854988,0.46110330202226957,27.447866744564966,111111110111111000010111111110,28
29,0.9970176863307791,0.1957829403559776,0.8835176016908595,0.8012347459748015,26.505528050725783,111111111001111000110011110110,30
30,0.9970176863307791,0.19578293870763477,0.8668367298097183,0.8012347476231444,26.00510189429155,111111111001111000110011110110,30
31,0.9970181624564247,0.24656647501441717,0.9104901218834438,0.7504516874420075,27.314703656503315,111111111001111000110111110110,32
32,0.9970176863307791,0.19571543005414738,0.8824594534415162,0.8013022562766318,26.473783603245487,111111111001111000110011110110,33
33,0.9970176863307791,0.4794141137215141,0.9307555294311223,0.517603572609265,27.922665882933668,111111111001111000110011110110,33
34,0.9959784560879164,0.4794141137215141,0.9019696542581354,0.5165643423664023,27.05908962774406,111111110111110000010110110110,35
35,0.9950665269548516,0.13896009378942697,0.8851517987608547,0.8561064331654247,26.55455396282564,111111110101111000100011110110,36
36,0.9989043924897892,0.5578981059937711,0.9309195249695884,0.44100628649601814,27.92758574908765,111111111101110000010110110110,37
37,0.9989120177183232,0.7880347937945599,0.9418061536648373,0.2108772239237633,28.25418460994512,111111111101110001010110110110,38
38,0.9989120177183232,0.7880347937945599,0.9454798149933633,0.2108772239237633,28.364394449800898,111111111101110001010110110110,38
39,0.9989120177183232,0.7326105903658292,0.9422633147034749,0.26630142735249396,28.267899441104248,111111111101110001010110110110,38
40,0.9989120177183232,0.2426728009781697,0.9221462255891812,0.7562392167401535,27.66438676767544,111111111101110001010110110110,38
41,0.9989730205943324,0.5342580867066178,0.9180329836964963,0.46471493388771457,27.54098951089489,111111111101111001010110110110,42
42,0.998988271604373,0.2312942015435466,0.9155391791391437,0.7676940700608264,27.466175374174313,111111111101111011010110110110,43
43,0.9989730205943324,0.8435238872773211,0.9557174116226997,0.15544913331701127,28.67152234868099,111111111101111001010110110110,44
44,0.9989158266202337,0.8488435189103336,0.9645142748806492,0.1500723077099001,28.935428246419477,111111111101110001110110110100,45
45,0.9989768296125445,0.5616848016986463,0.9532128582487677,0.4372920279138982,28.59638574746303,111111111101111001110110110100,46
46,0.9989768296125445,0.5616848016986463,0.9343140745023315,0.4372920279138982,28.029422235069944,111111111101111001110110110100,46
47,0.9989768296125445,0.24945613969217084,0.9375144741672797,0.7495206899203737,28.12543422501839,111111111101111001110110110100,46
48,0.9989768333359286,0.7259461852358837,0.9454191191847968,0.27303064810004485,28.362573575543905,111111111101111001110110110110,49
49,0.9989768314742365,0.2192470900271567,0.8930368422680537,0.7797297414470798,26.791105268041612,111111111101111001110110110101,50
50,0.9989768296125445,0.5616840618341473,0.9325830949229273,0.4372927677783972,27.97749284768782,111111111101111001110110110100,51
51,0.9989768296125445,0.7259461820618441,0.926847247321787,0.2730306475507004,27.80541741965361,111111111101111001110110110100,51
52,0.9989119842089544,0.24750895499861886,0.8833548210020743,0.7514030292103355,26.50064463006223,111111111101110001010110100100,53
53,0.9970065829641741,0.36243380683846294,0.8919181338587724,0.6345727761257112,26.757544015763173,111111111001110111010110100100,54
54,0.9970065829641741,0.12392143260805599,0.8652512099313955,0.8730851503561181,25.957536297941864,111111111001110111010110100100,54
55,0.9970065829641741,0.12392143260805599,0.8730180104790896,0.8730851503561181,26.190540314372686,111111111001110111010110100100,54
56,0.9970675276314992,0.3825089041490943,0.9220435621107951,0.614558623482405,27.66130686332385,111111111001111111010110100100,57
57,0.9970675276314992,0.21926138063058515,0.938071879124154,0.7778061470009141,28.14215637372462,111111111001111111010110100100,57
58,0.9969608756860412,0.21926137975839496,0.9219807950380255,0.7776994959276462,27.659423851140765,111111111001110001010110100100,59
59,0.9969609054430429,0.21926137975839496,0.9151541685783384,0.777699525684648,27.454625057350153,111111111001110001010110110100,60
60,0.9969609054430429,0.7259594623040756,0.9521697460785059,0.27100144313896735,28.56509238235518,111111111001110001010110110100,60
61,0.9951030007088009,0.23291254766061203,0.9164978730161724,0.7621904530481889,27.49493619048517,111111110101111101010110100100,62
62,0.9951030007088009,0.7259594623040756,0.9479689380478008,0.26914353840472527,28.439068141434024,111111110101111101010110100100,62
63,0.9660634693437495,0.23314457377623185,0.914145770073142,0.7329188955675177,27.42437310219426,111110111001111001011110100110,64
64,0.9969609872748,0.2329141585485341,0.8842136972988933,0.7640468287262658,26.5264109189668,111111111001110001010111100000,65
65,0.9969532132728847,0.2039481493921778,0.8749743839037646,0.7930050638807069,26.24923151711294,111111111001110000010110001100,66
66,0.9669634749647255,0.49224856227497416,0.9200192503179138,0.4747149126897513,27.600577509537413,111110111011110001011110000100,67
67,0.9669634767963445,0.49224856227497416,0.908229524156148,0.4747149145213704,27.24688572468444,111110111011110001011110000101,68
68,0.9669634804595827,0.8760500326012093,0.9467284029149299,0.09091344785837341,28.401852087447896,111110111011110001011110000111,69
69,0.9676829588316893,0.5367172716179032,0.9307746852120117,0.43096568721378614,27.92324055636035,111110111101010001010110101000,70
70,0.9969532132728847,0.20396194669394646,0.8845419190544735,0.7929912665789383,26.536257571634206,111111111001110000010110001100,71
71,0.9989119916554807,0.20389302624994146,0.8886608915136182,0.7950189654055393,26.659826745408544,111111111101110001010110101000,72
72,0.9969532151326902,0.5370754918129106,0.9188840311699628,0.4598777233197796,27.566520935098882,111111111001110000010110001101,73
73,0.9969532132728847,0.5370754808925299,0.9188699786805841,0.4598777323803548,27.56609936041752,111111111001110000010110001100,74
74,0.9677505059317605,0.8723976932152194,0.9185088152486934,0.09535281271654106,27.555264457460805,111110111101011010010110101000,75
75,0.9884392651134234,0.20394643170199336,0.9014630067878728,0.7844928334114301,27.043890203636185,111111101000010000010011100110,76
76,0.9677505059317605,0.20394298624926738,0.8566062890700539,0.7638075196824932,25.698188672101615,111110111101011010010110101000,77
77,0.9658872569507402,0.4505673119628103,0.8893074496681647,0.5153199449879299,26.67922349004494,111110111001100001111110100111,78
78,0.9658872679343373,0.49347242478182635,0.8949342183175015,0.472414843152511,26.848026549525045,111110111001100001111110101101,79
79,0.9669630060702955,0.4929346646908602,0.8949046897818188,0.4740283413794353,26.847140693454563,111110111011110001011010000100,80
80,0.9658872715955364,0.19695105729103143,0.8751011844026233,0.768936214304505,26.253035532078698,111110111001100001111110101111,81
81,0.9688850809603473,0.48670804559224584,0.8917453910800377,0.48217703536810147,26.75236173240113,111110111111110001011110100101,82
82,0.9688850809603473,0.8832843983038001,0.9193753078403705,0.08560068265654719,27.581259235211114,111110111111110001011110100101,82
83,0.968404515758365,0.20361665321802044,0.8955619172180574,0.7647878625403445,26.866857516541724,111110111110110001011110100101,84
84,0.9592958994506467,0.48670787406295907,0.9041360340331503,0.4725880253876877,27.12408102099451,111110101011110001011010000100,85
85,0.9890693175635913,0.22934007731029515,0.897501099671686,0.7597292402532961,26.92503299015058,111111101001100011010110110101,86
86,0.9582347193595455,0.2302763720814563,0.887831960233023,0.7279583472780893,26.634958806990692,111110101001100011010110110101,87
87,0.958234661012879,0.783074227073949,0.9179857008946654,0.17516043393893,27.539571026839962,111110101001100011010110010101,88
88,0.958234777706214,0.7830742007014326,0.911444867501913,0.17516057700478138,27.34334602505739,111110101001100011010111010101,89
89,0.9582944089298407,0.22242584380961344,0.8634912161141851,0.7358685651202272,25.904736483425552,111110101001101011010110010101,90
90,0.9592963683067746,0.4758683369606509,0.8788832746508178,0.48342803134612367,26.366498239524535,111110101011110001011110000101,91
91,0.9592963683067746,0.4758683369606509,0.8742650402439979,0.48342803134612367,26.227951207319936,111110101011110001011110000101,91
92,0.9592963683067746,0.4758683369606509,0.8916331821172869,0.48342803134612367,26.748995463518607,111110101011110001011110000101,91
93,0.9669935009295376,0.47586833953047575,0.8838055436773842,0.49112516139906187,26.514166310321524,111110111011110101011110001101,94
94,0.9890703252896784,0.5207415733552141,0.9121990088841792,0.4683287519344643,27.365970266525373,111111101001100011011111010101,95
95,0.9659125816305072,0.8829445676109035,0.9353882006881338,0.08296801401960374,28.061646020644012,111110111001100101010110110001,96
96,0.9659125816305072,0.7834809770507982,0.9379434811443503,0.18243160457970897,28.13830443433051,111110111001100101010110110001,96
97,0.9659163307511122,0.2291062695447132,0.9054396584388514,0.736810061206399,27.163189753165543,111110111001100101110110110001,98
98,0.9892058654212373,0.5312873547729997,0.906868886747507,0.45791851064823763,27.20606660242521,111111101001110101010110100011,99
99,0.9659163453961288,0.229340105854641,0.8485081668206178,0.7365762395414878,25.455245004618533,111110111001100101110110111001,100
100,0.9890693768415824,0.19695993453224006,0.9296726351473343,0.7921094423093423,27.89017905442003,111111101001100011010111010101,101
101,0.9890693768415824,0.19695993453224006,0.9294895333447649,0.7921094423093423,27.88468600034295,111111101001100011010111010101,101
102,0.9890693768415824,0.7292280054392968,0.9494722615758053,0.2598413714022856,28.48416784727416,111111101001100011010111010101,101
103,0.9592963683067746,0.7292280054392968,0.9442266955160944,0.23006836286747778,28.32680086548283,111110101011110001011110000101,104
104,0.9592949818064944,0.8394303904638959,0.9470352867561294,0.11986459134259853,28.41105860268388,111110101011110001010010001101,105
105,0.9890692582856022,0.7292280054392968,0.9394254319612358,0.25984125284630544,28.182762958837074,111111101001100011010110010101,106
106,0.9890692582856022,0.7840086333772867,0.9462851066777404,0.20506062490831556,28.38855320033221,111111101001100011010110010101,106
107,0.9890692582856022,0.2272908732033888,0.9012967773701546,0.7617783850822134,27.038903321104637,111111101001100011010110010101,106
108,0.9890692582856022,0.2272908732033888,0.9157259983129933,0.7617783850822134,27.4717799493898,111111101001100011010110010101,106
109,0.9890692582856022,0.2272908732033888,0.9228393600264921,0.7617783850822134,27.685180800794765,111111101001100011010110010101,106
110,0.9890692582856022,0.2272908732033888,0.8982227913868123,0.7617783850822134,26.946683741604367,111111101001100011010110010101,106
111,0.9891280629239603,0.2272908732033888,0.8969820860044365,0.7618371897205715,26.909462580133095,111111101001101011000110010101,112
112,0.9891280629239603,0.4040294584719741,0.9143073783007972,0.5850986044519861,27.429221349023916,111111101001101011000110010101,112
113,0.9658985444603626,0.5367182745937017,0.9230913184715015,0.4291802698666609,27.692739554145046,111110111001100011011110111101,114
114,0.9658985444603626,0.7839410809215849,0.9404265907112584,0.18195746353877773,28.212797721337754,111110111001100011011110111101,114
115,0.9658985444603626,0.7701676711734405,0.9337183560323152,0.19573087328692207,28.011550680969457,111110111001100011011110111101,114
