0,1
generations,10
cross_over_prob,0.85
mutation_prob,0.05
population_size,10
chromosome_bits,30
elitism,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9307106451607144,0.00010133376484188427,0.35014668674153676,0.9306093113958726,3.5014668674153677,111101101111100011000101100110,0
1,0.9307106451607144,0.28200719712929534,0.7228605386616849,0.6487034480314191,7.228605386616849,111101101111100011000101100110,0
2,0.9308461891029172,0.29205110487576635,0.8436935664522371,0.6387950842271508,8.436935664522371,111101101111110101100000001001,2
3,0.9308461891029172,0.9307106451607144,0.9307648626251479,0.00013554394220272048,9.30764862625148,111101101111110101100000001001,2
4,0.9308461891029172,0.510931167244189,0.8888275781285907,0.4199150218587282,8.888275781285907,111101101111110101100000001001,2
5,0.9308468162863659,0.9307100180231419,0.9308055262842352,0.0001367982632239917,9.308055262842352,111101101111110101100101100110,5
6,0.9308468162863659,0.9307100180231419,0.9307920347880293,0.0001367982632239917,9.307920347880293,111101101111110101100101100110,5
7,0.9308468180834534,0.930710014429231,0.9308057769779193,0.00013680365422241714,9.308057769779193,111101101111110101100101100111,7
8,0.9308468216776286,0.930710014429231,0.9307786061945699,0.00013680724839759684,9.307786061945698,111101101111110101100101101001,8
9,0.9308468216776286,0.930710014429231,0.9307922233025735,0.00013680724839759684,9.307922233025735,111101101111110101100101101001,8

0.15413299735022187

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9961887417867552,1.0151127619083076e-06,0.2296504619555455,0.9961877266739932,2.296504619555455,111111111000001011111110010100,0
1,0.9961887417867552,0.8711070643081207,0.9586077038867359,0.12508167747863452,9.586077038867359,111111111000001011111110010100,0
2,0.9961887417867552,0.875333422713601,0.9715667747962013,0.12085531907315417,9.715667747962014,111111111000001011111110010100,0
3,0.9961887417867552,0.9652424901421025,0.9910898005089545,0.0309462516446527,9.910898005089544,111111111000001011111110010100,0
4,0.9961887417867552,0.9961887417867552,0.996188741786755,0.0,9.96188741786755,111111111000001011111110010100,0

0.07729432092626297

