0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,10
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,3.6584473549425625e-05,3.05446104034943e-05,3.375158887969545e-05,0.00033751588879695453,6.039863145931324e-06,"[16, 21, 20, 2, 12, 14, 7, 13, 10, 22, 19, 6, 9, 4, 18, 0, 15, 11, 3, 1, 17, 8, 5]",0
1,3.921261077562544e-05,3.121878121878122e-05,3.4038522856156234e-05,0.0003403852285615623,7.99382955684422e-06,"[16, 2, 4, 10, 8, 12, 1, 15, 17, 18, 5, 13, 3, 11, 19, 6, 9, 0, 7, 20, 21, 14, 22]",1
2,4.181825785137791e-05,3.011866755014758e-05,3.5135018347411604e-05,0.00035135018347411606,1.1699590301230329e-05,"[17, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 5]",2
3,4.181825785137791e-05,3.0216044719746186e-05,3.588487927874853e-05,0.0003588487927874853,1.1602213131631723e-05,"[17, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 5]",2
4,4.181825785137791e-05,3.07370750599373e-05,3.733229765020334e-05,0.0003733229765020334,1.1081182791440612e-05,"[17, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 5]",2
5,4.379625979941313e-05,3.161855376735068e-05,3.7883686838270465e-05,0.0003788368683827047,1.2177706032062447e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 17]",5
6,4.379625979941313e-05,3.4723427896801975e-05,3.99641341920632e-05,0.000399641341920632,9.072831902611153e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 17]",5
7,4.379625979941313e-05,3.832151753209427e-05,4.136914252157784e-05,0.00041369142521577843,5.47474226731886e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 1, 2, 6, 0, 19, 21, 22, 4, 7, 20, 17]",5
8,4.387696897898293e-05,3.8109756097560976e-05,4.064441531946342e-05,0.00040644415319463417,5.767212881421957e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 6, 2, 1, 0, 19, 21, 22, 4, 7, 20, 17]",8
9,4.387696897898293e-05,3.806188863091387e-05,4.125845105160093e-05,0.0004125845105160093,5.8150803480690636e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 6, 2, 1, 0, 19, 21, 22, 4, 7, 20, 17]",8
10,4.387696897898293e-05,3.8280442521915554e-05,4.164711699212724e-05,0.0004164711699212724,5.596526457067378e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 6, 2, 1, 0, 19, 21, 22, 4, 7, 20, 17]",8
11,4.387696897898293e-05,4.1891835281303674e-05,4.367038469125802e-05,0.0004367038469125802,1.985133697679259e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 6, 2, 1, 0, 19, 21, 22, 4, 7, 20, 17]",8
12,4.387696897898293e-05,3.7653437758867384e-05,4.280058383098757e-05,0.00042800583830987575,6.223531220115549e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 10, 6, 2, 1, 0, 19, 21, 22, 4, 7, 20, 17]",8
13,4.494584026248371e-05,4.098528628222468e-05,4.301402131482408e-05,0.0004301402131482408,3.960553980259028e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
14,4.494584026248371e-05,3.5535339895526104e-05,4.183868583627261e-05,0.0004183868583627261,9.410500366957604e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
15,4.494584026248371e-05,3.486142583231654e-05,3.9846693253451794e-05,0.0003984669325345179,1.0084414430167166e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
16,4.494584026248371e-05,3.42219636562746e-05,3.9640919218217934e-05,0.00039640919218217937,1.0723876606209109e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
17,4.494584026248371e-05,3.486142583231654e-05,4.055178189439415e-05,0.0004055178189439415,1.0084414430167166e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
18,4.494584026248371e-05,3.486142583231654e-05,4.099359571747706e-05,0.0004099359571747706,1.0084414430167166e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
19,4.494584026248371e-05,3.8705681994116735e-05,4.199392648989318e-05,0.0004199392648989318,6.2401582683669734e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
20,4.494584026248371e-05,3.3215970238490664e-05,4.0658928689856336e-05,0.00040658928689856334,1.1729870023993044e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
21,4.494584026248371e-05,3.396393030601501e-05,4.214588824163236e-05,0.0004214588824163236,1.0981909956468698e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
22,4.494584026248371e-05,3.396393030601501e-05,4.213530006404579e-05,0.0004213530006404579,1.0981909956468698e-05,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
23,4.494584026248371e-05,3.9502271380604385e-05,4.2879317933204415e-05,0.0004287931793320442,5.443568881879323e-06,"[5, 11, 9, 16, 13, 12, 8, 3, 15, 14, 18, 4, 6, 2, 1, 0, 19, 21, 22, 10, 7, 20, 17]",13
24,4.56183568267871e-05,4.2642104814293634e-05,4.432055192347329e-05,0.0004432055192347329,2.9762520124934676e-06,"[5, 10, 9, 16, 13, 12, 8, 3, 4, 14, 18, 15, 6, 2, 1, 0, 19, 21, 22, 11, 7, 20, 17]",24
25,4.57184656882915e-05,4.079301623562046e-05,4.406145626857431e-05,0.00044061456268574314,4.925449452671042e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
26,4.57184656882915e-05,4.0290088638195005e-05,4.386073878867454e-05,0.00043860738788674544,5.428377050096497e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
27,4.57184656882915e-05,3.331889514543698e-05,4.3073564820041695e-05,0.00043073564820041697,1.2399570542854526e-05,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
28,4.57184656882915e-05,4.221368567689645e-05,4.432279304552847e-05,0.0004432279304552847,3.5047800113950523e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
29,4.57184656882915e-05,4.210349037935245e-05,4.417656608932866e-05,0.00044176566089328655,3.6149753089390554e-06,"[5, 11, 14, 16, 13, 12, 8, 3, 15, 9, 19, 4, 6, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",25
30,4.6176579239009974e-05,3.5458478122118996e-05,4.399856903787953e-05,0.00043998569037879525,1.0718101116890978e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",30
31,4.6176579239009974e-05,3.769317753486619e-05,4.361476403554133e-05,0.0004361476403554133,8.483401704143785e-06,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",30
32,4.62000462000462e-05,3.3973161202649904e-05,4.1788960267384245e-05,0.00041788960267384243,1.2226884997396297e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
33,4.62000462000462e-05,3.901677721420211e-05,4.3958312845324904e-05,0.000439583128453249,7.183268985844092e-06,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
34,4.62000462000462e-05,3.5755148741418764e-05,4.3721903333878806e-05,0.00043721903333878803,1.0444897458627437e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
35,4.62000462000462e-05,3.308628904182107e-05,4.286860168947283e-05,0.00042868601689472835,1.311375715822513e-05,"[5, 6, 14, 16, 13, 12, 8, 11, 3, 9, 19, 4, 15, 2, 1, 0, 18, 21, 22, 10, 7, 20, 17]",32
36,4.6176579239009974e-05,3.308628904182107e-05,4.1515277351284014e-05,0.0004151527735128401,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
37,4.6176579239009974e-05,3.308628904182107e-05,4.2907566655378464e-05,0.00042907566655378467,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
38,4.6176579239009974e-05,3.308628904182107e-05,4.160296010603701e-05,0.0004160296010603701,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
39,4.6176579239009974e-05,3.308628904182107e-05,4.412047815385052e-05,0.00044120478153850524,1.3090290197188902e-05,"[5, 11, 4, 16, 13, 12, 8, 3, 15, 14, 18, 9, 6, 2, 1, 0, 19, 21, 22, 17, 7, 20, 10]",36
