0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.9
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,4.680771391125258e-05,2.8285342535498105e-05,3.2653815653963195e-05,0.0009796144696188958,1.8522371375754472e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 8, 20, 22, 21, 16, 12, 14, 17, 11, 0, 18]",0
1,4.680771391125258e-05,2.9171528588098018e-05,3.2834706254592844e-05,0.0009850411876377854,1.763618532315456e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 8, 20, 22, 21, 16, 12, 14, 17, 11, 0, 18]",0
2,4.680771391125258e-05,2.8373623879241858e-05,3.400075646272846e-05,0.0010200226938818539,1.843409003201072e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 8, 20, 22, 21, 16, 12, 14, 17, 11, 0, 18]",0
3,4.844257133168629e-05,2.7502750275027502e-05,3.467200331917342e-05,0.0010401600995752027,2.0939821056658786e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 18, 20, 22, 21, 16, 12, 14, 17, 11, 0, 8]",3
4,4.844257133168629e-05,2.9081602977956145e-05,3.4945186705691806e-05,0.0010483556011707542,1.9360968353730143e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 18, 20, 22, 21, 16, 12, 14, 17, 11, 0, 8]",3
5,4.844257133168629e-05,3.0008402352658743e-05,3.6471086578494615e-05,0.0010941325973548384,1.8434168979027545e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 18, 20, 22, 21, 16, 12, 14, 17, 11, 0, 8]",3
6,4.844257133168629e-05,3.047294002925402e-05,3.686172079337849e-05,0.0011058516238013547,1.7969631302432266e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 18, 20, 22, 21, 16, 12, 14, 17, 11, 0, 8]",3
7,4.844257133168629e-05,2.9799153704034804e-05,3.759706289810542e-05,0.0011279118869431625,1.8643417627651483e-05,"[19, 13, 7, 9, 10, 15, 2, 6, 3, 5, 1, 4, 18, 20, 22, 21, 16, 12, 14, 17, 11, 0, 8]",3
8,4.6589638464405515e-05,2.964456170515519e-05,3.672095855316266e-05,0.0011016287565948797,1.6945076759250324e-05,"[19, 13, 7, 9, 10, 17, 5, 6, 3, 15, 1, 4, 18, 20, 22, 21, 16, 0, 2, 12, 11, 14, 8]",8
9,4.6589638464405515e-05,2.8102517985611512e-05,3.646556002067725e-05,0.0010939668006203175,1.8487120478794002e-05,"[19, 13, 7, 9, 10, 17, 5, 6, 3, 15, 1, 4, 18, 20, 22, 21, 16, 0, 2, 12, 11, 14, 8]",8
10,4.6913116907487336e-05,3.060724779627816e-05,3.62619121993251e-05,0.001087857365979753,1.6305869111209176e-05,"[19, 13, 16, 9, 10, 17, 5, 6, 3, 15, 1, 4, 18, 20, 22, 21, 7, 0, 2, 12, 11, 14, 8]",10
11,4.6913116907487336e-05,3.060818462856968e-05,3.693498629962604e-05,0.0011080495889887812,1.6304932278917658e-05,"[19, 13, 16, 9, 10, 17, 5, 6, 3, 15, 1, 4, 18, 20, 22, 21, 7, 0, 2, 12, 11, 14, 8]",10
12,4.9060491586125696e-05,3.053155436143254e-05,3.733787615688343e-05,0.001120136284706503,1.8528937224693154e-05,"[22, 21, 7, 9, 5, 10, 2, 6, 16, 15, 11, 4, 3, 20, 18, 14, 1, 12, 13, 17, 19, 0, 8]",12
13,4.9060491586125696e-05,3.131556696833996e-05,3.7623192141987314e-05,0.0011286957642596194,1.7744924617785736e-05,"[22, 21, 7, 9, 5, 10, 2, 6, 16, 15, 11, 4, 3, 20, 18, 14, 1, 12, 13, 17, 19, 0, 8]",12
14,4.9060491586125696e-05,2.969032985956474e-05,3.7624472727938226e-05,0.0011287341818381467,1.9370161726560955e-05,"[22, 21, 7, 9, 5, 10, 2, 6, 16, 15, 11, 4, 3, 20, 18, 14, 1, 12, 13, 17, 19, 0, 8]",12
15,5.1972350709422586e-05,3.071536075191203e-05,3.866915306409645e-05,0.0011600745919228936,2.1256989957510553e-05,"[19, 13, 16, 2, 5, 10, 9, 8, 3, 15, 1, 4, 18, 20, 22, 21, 7, 12, 14, 11, 17, 0, 6]",15
16,5.1972350709422586e-05,2.9994900866852634e-05,3.866007901785856e-05,0.0011598023705357567,2.1977449842569952e-05,"[19, 13, 16, 2, 5, 10, 9, 8, 3, 15, 1, 4, 18, 20, 22, 21, 7, 12, 14, 11, 17, 0, 6]",15
