0,1
generations,200
cross_over_prob,0.95
mutation_prob,0.4
population_size,30
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,3.904267364229103e-05,2.8750503133804843e-05,3.2486758364771656e-05,0.0009746027509431498,1.0292170508486185e-05,"[1, 15, 7, 11, 12, 2, 21, 22, 9, 3, 6, 10, 17, 18, 19, 8, 5, 16, 20, 14, 4, 0, 13]",0
1,3.904267364229103e-05,2.8764562059542644e-05,3.3379712122325104e-05,0.001001391363669753,1.0278111582748384e-05,"[1, 15, 7, 11, 12, 2, 21, 22, 9, 3, 6, 10, 17, 18, 19, 8, 5, 16, 20, 14, 4, 0, 13]",0
2,4.423213021939137e-05,2.6794566062002625e-05,3.4226899743715656e-05,0.0010268069923114697,1.7437564157388742e-05,"[22, 21, 9, 18, 20, 8, 12, 19, 11, 10, 7, 1, 3, 15, 0, 17, 2, 6, 4, 5, 14, 16, 13]",2
3,4.743833017077799e-05,2.7667874830534265e-05,3.556842884226728e-05,0.0010670528652680185,1.9770455340243723e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
4,4.743833017077799e-05,2.85673475217826e-05,3.541333678457667e-05,0.0010624001035373,1.8870982648995387e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
5,4.743833017077799e-05,2.788155913678693e-05,3.529014193513658e-05,0.0010587042580540973,1.955677103399106e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
6,4.743833017077799e-05,2.7021914772880808e-05,3.509734059377735e-05,0.0010529202178133205,2.041641539789718e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
7,4.743833017077799e-05,2.753531404025663e-05,3.548746351462334e-05,0.0010646239054387001,1.990301613052136e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
8,4.743833017077799e-05,2.7695460713988977e-05,3.58545161305106e-05,0.0010756354839153179,1.974286945678901e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
9,4.743833017077799e-05,2.757555702625193e-05,3.696244478800633e-05,0.0011088733436401899,1.986277314452606e-05,"[22, 21, 1, 3, 2, 13, 17, 19, 11, 0, 10, 14, 12, 15, 8, 7, 20, 6, 4, 5, 9, 16, 18]",3
