0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,179,0,71.1,179,711,0110110000,1
1,207,90,151.4,117,1514,0110110001,2
2,225,0,157.5,225,1575,0110110101,3
3,225,0,172.7,225,1727,0110110101,3
4,225,0,178.7,225,1787,0110110101,3
5,225,175,208.6,50,2086,0110110101,3
6,225,175,218.2,50,2182,0110110101,3
7,225,175,218.2,50,2182,0110110101,3
8,225,175,220.0,50,2200,0110110101,3
9,225,175,210.0,50,2100,0110110101,3
10,225,175,215.0,50,2150,0110110101,3
11,225,225,225.0,0,2250,0110110101,3

0.11000343619091253

