0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.9817636215623112,0.003626018854391831,0.37386388990462205,0.9781376027079194,3.7386388990462205,111111011010011110101110010010,1
1,0.9817636270990604,0.06955132594709308,0.7058463151157874,0.9122123011519673,7.058463151157874,111111011010011110101110010101,2
2,0.9817636344813926,0.7659901315477751,0.8840595713337921,0.21577350293361752,8.84059571333792,111111011010011110101110011001,3
3,0.9818068658950507,0.8718161370923783,0.9487918423172956,0.10999072880267247,9.487918423172957,111111011010100100011100011001,4
4,0.9818068658950507,0.8718568828941022,0.9488003648715111,0.10994998300094849,9.488003648715111,111111011010100100011100011001,4
5,0.9818068658950507,0.8719301331194437,0.9597914653642281,0.10987673277560706,9.597914653642281,111111011010100100011100011001,4
6,0.9818068658950507,0.8719301192051567,0.9707053771240572,0.109876746689894,9.707053771240572,111111011010100100011100011001,4
7,0.9818068658950507,0.8719301748623051,0.9707097073068898,0.10987669103274567,9.707097073068898,111111011010100100011100011001,4
8,0.9818219853026147,0.981748515523119,0.9817982285159822,7.346977949562739e-05,9.817982285159822,111111011010100110011100011001,9
9,0.9822907299104677,0.9817637525987125,0.9818645472832299,0.0005269773117552168,9.8186454728323,111111011011100100011100010001,10
10,0.9822907299104677,0.9818068511300613,0.9819157330736491,0.0004838787804064548,9.819157330736491,111111011011100100011100010001,10
11,0.9822907299104677,0.9818068511300613,0.9820004100247186,0.0004838787804064548,9.820004100247186,111111011011100100011100010001,10
12,0.9822907446790952,0.2411849251089975,0.9080349894879918,0.7411058195700977,9.080349894879918,111111011011100100011100011001,13
13,0.9822907446790952,0.24118492144997403,0.9081317176189323,0.7411058232291211,9.081317176189323,111111011011100100011100011001,13
14,0.9822907446790952,0.9818068511300613,0.98224230289557,0.00048389354903388693,9.8224230289557,111111011011100100011100011001,13
15,0.9822907446790952,0.9822902573144454,0.9822906427755769,4.873646497483008e-07,9.822906427755768,111111011011100100011100011001,13
16,0.9822907446790952,0.9822902573144454,0.9822906922504732,4.873646497483008e-07,9.822906922504732,111111011011100100011100011001,13
17,0.9822907446790952,0.8623087602632488,0.9702924975010454,0.1199819844158464,9.702924975010454,111111011011100100011100011001,13
18,0.9822907446790952,0.9822902573144454,0.9822906959426302,4.873646497483008e-07,9.822906959426302,111111011011100100011100011001,13
19,0.9822907446790952,0.9822902573144454,0.9822906472061653,4.873646497483008e-07,9.822906472061653,111111011011100100011100011001,13

0.29858403791543336

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,0.982770951743435,0.0040289450731800245,0.4083036166245394,0.9787420066702549,4.083036166245394,111111011100100011111100010100,1
1,0.9827713136632767,0.25260667739295445,0.7715569742825925,0.7301646362703222,7.715569742825926,111111011100100011111111011000,2
2,0.9828314597578054,0.2526220157580571,0.8773157948239309,0.7302094439997483,8.773157948239309,111111011100101011111100010100,3
3,0.9828314597578054,0.7701440524060064,0.9503310685892254,0.21268740735179903,9.503310685892254,111111011100101011111100010100,3
4,0.9828318216887885,0.5496421767571475,0.9070284730384179,0.4331896449316409,9.070284730384179,111111011100101011111111011000,5
5,0.9828318216887885,0.7701440524060064,0.9391598197141775,0.2126877692827821,9.391598197141775,111111011100101011111111011000,5
6,0.9828318216887885,0.7701440425983022,0.9198408225788761,0.2126877790904863,9.19840822578876,111111011100101011111111011000,5
7,0.9828318216887885,0.7710552155452867,0.9313864437981852,0.2117766061435018,9.313864437981852,111111011100101011111111011000,5
8,0.9828318290751358,0.8947984944627254,0.974008275780011,0.08803333461241036,9.74008275780011,111111011100101011111111011100,9
9,0.9828318290751358,0.8947984944627254,0.9740102294598685,0.08803333461241036,9.740102294598685,111111011100101011111111011100,9
10,0.9828318290751358,0.9827709443573165,0.9828135629211554,6.088471781928728e-05,9.828135629211554,111111011100101011111111011100,9
11,0.9828318290751358,0.9827713210493966,0.9828257406021944,6.050802573920322e-05,9.828257406021944,111111011100101011111111011100,9
12,0.9828318290751358,0.9827713210493966,0.982819727469988,6.050802573920322e-05,9.82819727469988,111111011100101011111111011100,9
13,0.9828318290751358,0.9218472195457884,0.9767273173196273,0.06098460952934737,9.767273173196273,111111011100101011111111011100,9
14,0.9828318290751358,0.9828318290751358,0.9828318290751359,0.0,9.828318290751358,111111011100101011111111011100,9

0.18345020107304139

