0,1
generations,20
cross_over_prob,0.95
mutation_prob,0.1
population_size,10
chromosome_bits,30
elitism,True
total_vol,3000
objects,"[[150, 20], [325, 40], [600, 50], [805, 36], [430, 25], [1200, 64], [770, 54], [60, 18], [930, 46], [353, 28]]"

G,1-Máx,2-Mín,3-Promedio,5-Rango,4-Total,6-Cromosoma,7-Estable
0,218,0,93.7,218,937,1111001100,1
1,218,74,156.7,144,1567,1111001100,1
2,218,74,162.7,144,1627,1111001100,1
3,218,156,174.8,62,1748,1111001100,1
4,218,0,167.3,218,1673,1111001100,1
5,218,192,215.4,26,2154,1111001100,1
6,218,0,192.6,218,1926,1111001100,1
7,218,182,214.4,36,2144,1111001100,1
8,218,218,218.0,0,2180,1111001100,1

0.06097178552022673

