0,1
generations,20
cross_over_prob,0.76
mutation_prob,0.2
population_size,15
chromosome_bits,23
elitism,True

G,1-Máx,2-Mín,3-Promedio,4-Total,5-Rango,6-Cromosoma,7-Estable
0,4.447805008228439e-05,3.784868097346807e-05,4.0567479805370456e-05,0.0006085121970805568,6.62936910881632e-06,"[10, 12, 18, 15, 16, 8, 0, 5, 4, 13, 14, 7, 11, 6, 21, 17, 1, 3, 2, 19, 20, 22, 9]",0
1,4.459706551308924e-05,3.6770113251948816e-05,3.82624266417653e-05,0.0005739363996264795,7.82695226114042e-06,"[9, 21, 3, 19, 15, 5, 14, 11, 8, 22, 17, 18, 1, 0, 13, 12, 6, 10, 16, 20, 2, 7, 4]",1
2,4.710093730865244e-05,3.58179017873133e-05,3.811136466294967e-05,0.0005716704699442451,1.1283035521339139e-05,"[5, 11, 6, 12, 16, 8, 14, 15, 4, 1, 18, 20, 19, 21, 22, 7, 9, 3, 2, 10, 13, 0, 17]",2
3,4.710093730865244e-05,3.473669584549118e-05,3.7927029922911254e-05,0.0005689054488436688,1.236424146316126e-05,"[5, 11, 6, 12, 16, 8, 14, 15, 4, 1, 18, 20, 19, 21, 22, 7, 9, 3, 2, 10, 13, 0, 17]",2
4,4.710093730865244e-05,3.3358908496513995e-05,3.909231490221831e-05,0.0005863847235332747,1.3742028812138444e-05,"[5, 11, 6, 12, 16, 8, 14, 15, 4, 1, 18, 20, 19, 21, 22, 7, 9, 3, 2, 10, 13, 0, 17]",2
5,4.710093730865244e-05,3.6301593639960794e-05,3.995750513665025e-05,0.0005993625770497538,1.0799343668691645e-05,"[5, 11, 6, 12, 16, 8, 14, 15, 4, 1, 18, 20, 19, 21, 22, 7, 9, 3, 2, 10, 13, 0, 17]",2
6,4.710093730865244e-05,3.965421524308034e-05,4.060701348675632e-05,0.0006091052023013448,7.446722065572098e-06,"[5, 11, 6, 12, 16, 8, 14, 15, 4, 1, 18, 20, 19, 21, 22, 7, 9, 3, 2, 10, 13, 0, 17]",2
7,5.297171310520182e-05,3.965421524308034e-05,4.131179004877865e-05,0.0006196768507316798,1.3317497862121478e-05,"[9, 11, 3, 12, 16, 5, 14, 15, 4, 1, 17, 18, 19, 21, 22, 7, 6, 10, 2, 20, 13, 0, 8]",7
8,5.297171310520182e-05,3.904419803217242e-05,4.101242583135106e-05,0.0006151863874702659,1.3927515073029398e-05,"[9, 11, 3, 12, 16, 5, 14, 15, 4, 1, 17, 18, 19, 21, 22, 7, 6, 10, 2, 20, 13, 0, 8]",7
9,5.5117676238769775e-05,3.9018299582504195e-05,4.264271767429462e-05,0.0006396407651144193,1.609937665626558e-05,"[9, 11, 3, 1, 16, 5, 14, 15, 0, 4, 17, 18, 19, 21, 22, 7, 6, 10, 2, 20, 13, 12, 8]",9
